Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"mouseOver(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:07,2020-09-16 14:39:09,2.514s,PASSED
"click(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:09,2020-09-16 14:39:10,0.671s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Title Kirim Uang Page""), ""Kirim Uang"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:10,2020-09-16 14:39:10,0.600s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_OK, DATA SUDAH BENAR""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:10,2020-09-16 14:39:11,0.428s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Kirim Uang/div_Pilih rekening yang digunakan""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:11,2020-09-16 14:39:11,0.552s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Kirim Uang/div_Pilih rekening tujuan""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:11,2020-09-16 14:39:12,0.301s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Kirim Uang/div_Masukkan nomor rekening""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:12,2020-09-16 14:39:12,0.311s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Kirim Uang/div_Minimal nominal Rp10.000""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:12,2020-09-16 14:39:12,0.312s,PASSED
,,,,,,,
Test Cases/Kirim Uang/Proceeed With Invalid Beneficiary Number,Chrome 85.0.4183.102,,,2020-09-16 14:39:12,2020-09-16 14:39:32,19.467s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-16 14:39:13,2020-09-16 14:39:16,3.810s,PASSED
"navigateToUrl(""https://flip.id/login"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:16,2020-09-16 14:39:22,5.362s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/Input Email""), ""m.fauzan.afianto@gmail.com"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:22,2020-09-16 14:39:23,1.331s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/Input Password""), ""DckXWtD/9LOnxpHoHTUHFQ=="")",Chrome 85.0.4183.102,,,2020-09-16 14:39:23,2020-09-16 14:39:23,0.429s,PASSED
"click(findTestObject(""Object Repository/Page_Login/Button MASUK""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:23,2020-09-16 14:39:24,0.380s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:24,2020-09-16 14:39:26,2.315s,PASSED
"click(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:26,2020-09-16 14:39:27,0.530s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Title Kirim Uang Page""), ""Kirim Uang"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:27,2020-09-16 14:39:27,0.620s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:39:27,2020-09-16 14:39:28,0.976s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60_1""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:39:28,2020-09-16 14:39:29,1.143s,PASSED
"clearText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 14:39:29,2020-09-16 14:39:30,0.509s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), ""1234567890"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:30,2020-09-16 14:39:31,0.668s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_CEK NAMA""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:31,2020-09-16 14:39:31,0.457s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Kirim Uang/Pop Up Rekening Salah""), 200)",Chrome 85.0.4183.102,,,2020-09-16 14:39:31,2020-09-16 14:39:32,0.726s,PASSED
,,,,,,,
Test Cases/Kirim Uang/Proceeed With Valid Input,Chrome 85.0.4183.102,,,2020-09-16 14:39:32,2020-09-16 14:40:03,31.255s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-16 14:39:32,2020-09-16 14:39:36,3.820s,PASSED
"navigateToUrl(""https://flip.id/login"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:36,2020-09-16 14:39:41,5.337s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/Input Email""), ""m.fauzan.afianto@gmail.com"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:41,2020-09-16 14:39:43,1.466s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/Input Password""), ""DckXWtD/9LOnxpHoHTUHFQ=="")",Chrome 85.0.4183.102,,,2020-09-16 14:39:43,2020-09-16 14:39:43,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_Login/Button MASUK""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:43,2020-09-16 14:39:44,0.384s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:44,2020-09-16 14:39:47,3.681s,PASSED
"click(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:47,2020-09-16 14:39:48,0.390s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Title Kirim Uang Page""), ""Kirim Uang"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:48,2020-09-16 14:39:48,0.811s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:39:48,2020-09-16 14:39:49,0.947s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60_1""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:39:49,2020-09-16 14:39:51,1.195s,PASSED
"clearText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 14:39:51,2020-09-16 14:39:51,0.444s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:51,2020-09-16 14:39:52,0.747s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_CEK NAMA""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:52,2020-09-16 14:39:52,0.372s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_beneficiary_bank""), ""value"", ""MUHAMMAD FAUZAN AFIANTO"", 5)",Chrome 85.0.4183.102,,,2020-09-16 14:39:52,2020-09-16 14:39:53,0.649s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_Rp_amount""), ""10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:53,2020-09-16 14:39:53,0.595s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_OK, DATA SUDAH BENAR""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:53,2020-09-16 14:39:54,0.538s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Konfirmasi No Rekening""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:54,2020-09-16 14:39:56,2.552s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Konfirmasi Noiminal 1""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:56,2020-09-16 14:39:57,0.285s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Konfirmasi Noiminal 2""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:57,2020-09-16 14:39:57,0.268s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/a_LANJUT""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:57,2020-09-16 14:39:57,0.329s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/a_SIAP, SAYA SETUJU""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:57,2020-09-16 14:39:58,0.661s,PASSED
"click(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/span_Lihat""))",Chrome 85.0.4183.102,,,2020-09-16 14:39:58,2020-09-16 14:39:59,0.828s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/Konfirmasi 2 Rerekening Penerima""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:59,2020-09-16 14:39:59,0.481s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/Konfirmasi 2 Nama Penerima""), ""MUHAMMAD FAUZAN AFIANTO"")",Chrome 85.0.4183.102,,,2020-09-16 14:39:59,2020-09-16 14:40:00,0.266s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/Konfirmasi 2 Nominal""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:00,2020-09-16 14:40:00,0.270s,PASSED
"click(findTestObject(""Object Repository/Page_Konfirmasi Transaksi/button_SAYA SUDAH TRANSFER""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:00,2020-09-16 14:40:00,0.308s,PASSED
"click(findTestObject(""Object Repository/Page_Transaksi sedang diproses/span_Lihat""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:00,2020-09-16 14:40:01,1.123s,PASSED
"verifyElementText(findTestObject(""Page_Transaksi sedang diproses/Konfirmasi 3 Rekening Penerima""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:01,2020-09-16 14:40:02,0.779s,PASSED
"verifyElementText(findTestObject(""Page_Transaksi sedang diproses/Konfirmasi 3 Nama Penerima""), ""MUHAMMAD FAUZAN AFIANTO"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:02,2020-09-16 14:40:02,0.285s,PASSED
"verifyElementText(findTestObject(""Page_Transaksi sedang diproses/Konfirmasi 3 Nominal""), ""Rp10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:02,2020-09-16 14:40:03,0.710s,PASSED
,,,,,,,
Test Cases/Kirim Uang/Save With Valid Input,Chrome 85.0.4183.102,,,2020-09-16 14:40:03,2020-09-16 14:40:25,22.193s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-16 14:40:03,2020-09-16 14:40:07,3.783s,PASSED
"navigateToUrl(""https://flip.id/login"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:07,2020-09-16 14:40:13,6.054s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/Input Email""), ""m.fauzan.afianto@gmail.com"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:13,2020-09-16 14:40:14,1.419s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/Input Password""), ""DckXWtD/9LOnxpHoHTUHFQ=="")",Chrome 85.0.4183.102,,,2020-09-16 14:40:14,2020-09-16 14:40:15,0.397s,PASSED
"click(findTestObject(""Object Repository/Page_Login/Button MASUK""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:15,2020-09-16 14:40:15,0.353s,PASSED
"mouseOver(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:15,2020-09-16 14:40:17,2.063s,PASSED
"click(findTestObject(""Object Repository/Page_Beranda/Button Kirim Uang""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:17,2020-09-16 14:40:18,0.776s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Kirim Uang/Title Kirim Uang Page""), ""Kirim Uang"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:18,2020-09-16 14:40:19,0.815s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:40:19,2020-09-16 14:40:20,0.923s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Kirim Uang/select_-- Pilih Bank --MandiriBRIBNI  BNI S_783f60_1""), ""tabungan_pensiunan_nasional"", true)",Chrome 85.0.4183.102,,,2020-09-16 14:40:20,2020-09-16 14:40:21,1.140s,PASSED
"clearText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-16 14:40:21,2020-09-16 14:40:21,0.518s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_account_number""), ""90011236271"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:21,2020-09-16 14:40:22,0.716s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_CEK NAMA""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:22,2020-09-16 14:40:23,0.396s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Page_Kirim Uang/input_REKENING TUJUAN_beneficiary_bank""), ""value"", ""MUHAMMAD FAUZAN AFIANTO"", 5)",Chrome 85.0.4183.102,,,2020-09-16 14:40:23,2020-09-16 14:40:23,0.669s,PASSED
"setText(findTestObject(""Object Repository/Page_Kirim Uang/input_Rp_amount""), ""10.000"")",Chrome 85.0.4183.102,,,2020-09-16 14:40:23,2020-09-16 14:40:24,0.644s,PASSED
"click(findTestObject(""Object Repository/Page_Kirim Uang/button_ SIMPAN DAN BUAT TRANSAKSI LAGI""))",Chrome 85.0.4183.102,,,2020-09-16 14:40:24,2020-09-16 14:40:24,0.592s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-16 14:40:24,2020-09-16 14:40:25,0.774s,PASSED
